Year,Value,Units,Series
2017,2.636,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2018,4.815,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2019,6.727,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2020,2.904,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2021,2.751,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2022,8.676,Millions of Freight Tonne-Kilometres (FTK),1. Freight volume (aviation)
2017,2264.761,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2018,3336.935,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2019,3372.515,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2020,816.241,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2021,909.973,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2022,3836.117,Millions of Revenue Passenger-Kilometres (RPK),2. Passenger volume (aviation)
2010,2.414,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2011,2.407,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2012,2.59,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2013,2.794,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2014,2.924,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2015,3.121,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2016,3.152,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2017,3.246,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2018,3.414,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2019,2.813,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2020,2.539,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2021,3.076,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
2022,2.994,Millions of Twenty-foot Equivalent Units (TEU),3. Container port traffic (maritime transport)
