Year,Value,Series
2010,7.02,Non-performing loans to total gross loans
2011,7.09,Non-performing loans to total gross loans
2012,7.75,Non-performing loans to total gross loans
2013,8.95,Non-performing loans to total gross loans
2014,9.05,Non-performing loans to total gross loans
2015,7.1,Non-performing loans to total gross loans
2016,5.29,Non-performing loans to total gross loans
2017,4.07,Non-performing loans to total gross loans
2018,3.36,Non-performing loans to total gross loans
2019,3.21,Non-performing loans to total gross loans
2020,3.66,Non-performing loans to total gross loans
2021,5.02,Non-performing loans to total gross loans
2022,3.5,Non-performing loans to total gross loans
2023,3.14,Non-performing loans to total gross loans
2010,1.39,Return on assets
2011,1.3,Return on assets
2012,1.39,Return on assets
2013,1.46,Return on assets
2014,1.1,Return on assets
2015,1.15,Return on assets
2016,1.16,Return on assets
2017,0.97,Return on assets
2018,0.7,Return on assets
2019,0.82,Return on assets
2020,0.09,Return on assets
2021,0.55,Return on assets
2022,0.66,Return on assets
2023,1.56,Return on assets
2010,5.8,Regulatory capital to assets
2011,5.86,Regulatory capital to assets
2012,6.07,Regulatory capital to assets
2013,6.55,Regulatory capital to assets
2014,5.46,Regulatory capital to assets
2015,5.9,Regulatory capital to assets
2016,6.41,Regulatory capital to assets
2017,7.31,Regulatory capital to assets
2018,7.76,Regulatory capital to assets
2019,8.12,Regulatory capital to assets
2020,7.93,Regulatory capital to assets
2021,7.38,Regulatory capital to assets
2022,7.26,Regulatory capital to assets
2023,7.93,Regulatory capital to assets
2010,37.81,Non-performing loans net of provisions to capital
2011,36.76,Non-performing loans net of provisions to capital
2012,37.44,Non-performing loans net of provisions to capital
2013,39.01,Non-performing loans net of provisions to capital
2014,41.59,Non-performing loans net of provisions to capital
2015,39.69,Non-performing loans net of provisions to capital
2016,27.97,Non-performing loans net of provisions to capital
2017,20.75,Non-performing loans net of provisions to capital
2018,16.63,Non-performing loans net of provisions to capital
2019,15.23,Non-performing loans net of provisions to capital
2020,19.3,Non-performing loans net of provisions to capital
2021,16.38,Non-performing loans net of provisions to capital
2022,11.49,Non-performing loans net of provisions to capital
2023,10.09,Non-performing loans net of provisions to capital
2010,11.37,Regulatory Tier 1 capital to risk-weighted assets
2011,11.82,Regulatory Tier 1 capital to risk-weighted assets
2012,12.12,Regulatory Tier 1 capital to risk-weighted assets
2013,12.88,Regulatory Tier 1 capital to risk-weighted assets
2014,10.89,Regulatory Tier 1 capital to risk-weighted assets
2015,12.15,Regulatory Tier 1 capital to risk-weighted assets
2016,13.58,Regulatory Tier 1 capital to risk-weighted assets
2017,15.19,Regulatory Tier 1 capital to risk-weighted assets
2018,16.0,Regulatory Tier 1 capital to risk-weighted assets
2019,17.57,Regulatory Tier 1 capital to risk-weighted assets
2020,18.57,Regulatory Tier 1 capital to risk-weighted assets
2021,19.45,Regulatory Tier 1 capital to risk-weighted assets
2022,19.58,Regulatory Tier 1 capital to risk-weighted assets
2023,20.97,Regulatory Tier 1 capital to risk-weighted assets
2010,43.74,Liquid assets to short term liabilities
2011,45.41,Liquid assets to short term liabilities
2012,51.54,Liquid assets to short term liabilities
2013,51.65,Liquid assets to short term liabilities
2014,50.42,Liquid assets to short term liabilities
2015,37.32,Liquid assets to short term liabilities
2016,38.31,Liquid assets to short term liabilities
2017,40.87,Liquid assets to short term liabilities
2018,35.98,Liquid assets to short term liabilities
2019,39.1,Liquid assets to short term liabilities
2020,39.89,Liquid assets to short term liabilities
2021,45.07,Liquid assets to short term liabilities
2022,44.07,Liquid assets to short term liabilities
2023,42.84,Liquid assets to short term liabilities
2010,-0.03,Net open position in foreign exchange to capital
2011,-0.33,Net open position in foreign exchange to capital
2012,0.12,Net open position in foreign exchange to capital
2013,0.14,Net open position in foreign exchange to capital
2014,1.05,Net open position in foreign exchange to capital
2015,0.35,Net open position in foreign exchange to capital
2016,0.38,Net open position in foreign exchange to capital
2017,-0.05,Net open position in foreign exchange to capital
2018,-0.01,Net open position in foreign exchange to capital
2019,0.13,Net open position in foreign exchange to capital
2020,0.54,Net open position in foreign exchange to capital
2021,0.26,Net open position in foreign exchange to capital
2022,-0.62,Net open position in foreign exchange to capital
2023,0.39,Net open position in foreign exchange to capital
