Year,Value,Units,Series
2016,8.57,Percentage,Proportion of forest area with a long-term management plan
2017,11.43,Percentage,Proportion of forest area with a long-term management plan
2018,11.43,Percentage,Proportion of forest area with a long-term management plan
2019,11.43,Percentage,Proportion of forest area with a long-term management plan
2020,11.43,Percentage,Proportion of forest area with a long-term management plan
2016,8.57,Percentage,Proportion of forest area within legally established protected areas
2017,11.43,Percentage,Proportion of forest area within legally established protected areas
2018,11.43,Percentage,Proportion of forest area within legally established protected areas
2019,11.43,Percentage,Proportion of forest area within legally established protected areas
2020,11.43,Percentage,Proportion of forest area within legally established protected areas
