Year,Value,Units,Series
2018,0.25,Percentage (%),ODA grant equivalent as a percentage of GNI
2019,0.3,Percentage (%),ODA grant equivalent as a percentage of GNI
2020,0.4,Percentage (%),ODA grant equivalent as a percentage of GNI
2021,0.32,Percentage (%),ODA grant equivalent as a percentage of GNI
2022,0.36,Percentage (%),ODA grant equivalent as a percentage of GNI
2023,0.34,Percentage (%),ODA grant equivalent as a percentage of GNI
2024,0.29,Percentage (%),ODA grant equivalent as a percentage of GNI
2010,0.18,Percentage (%),Net ODA flows as a percentage of GNI
2011,0.25,Percentage (%),Net ODA flows as a percentage of GNI
2012,0.23,Percentage (%),Net ODA flows as a percentage of GNI
2013,0.2,Percentage (%),Net ODA flows as a percentage of GNI
2014,0.2,Percentage (%),Net ODA flows as a percentage of GNI
2015,0.17,Percentage (%),Net ODA flows as a percentage of GNI
2016,0.2,Percentage (%),Net ODA flows as a percentage of GNI
2017,0.21,Percentage (%),Net ODA flows as a percentage of GNI
