Year,Value,Series
2015,68.0,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2016,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2017,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2018,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2019,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2020,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2021,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2022,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2023,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2024,98.9,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas
2012,0.3,Surface of the marine protected areas
2016,4.6,Surface of the marine protected areas
2019,5.5,Surface of the marine protected areas
2021,5.5,Surface of the marine protected areas
2022,5.5,Surface of the marine protected areas
