Year,Value,Series
2010,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2011,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2012,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2013,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2014,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2015,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2016,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2017,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2018,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2019,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2020,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2021,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2022,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2010,7,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2011,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2012,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2013,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2014,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2015,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2016,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2017,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2018,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2019,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2020,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2021,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2022,0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2010,8,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2011,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2012,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2013,1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2014,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2015,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2016,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2017,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2018,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2019,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2020,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2021,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2022,2,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
